id,code,info
341,A870,Энтеровирусный менингит (G02.0*)
342,A871,Аденовирусный менингит (G02.0*)
343,A872,Лимфоцитарный хориоменингит
344,A878,Другой вирусный менингит
345,A879,Вирусный менингит неуточненный
346,A880,Энтеровирусная экзантематозная лихорадка [бостонская экзантема]
347,A881,Эпидемическое головокружение
348,A888,Другие уточненные вирусные инфекции центральной нервной системы
349,A920,"Болезнь, вызванная вирусом Чикунгунья"
350,A921,Лихорадка ОНьонг-Ньонг'
351,A922,Венесуэльская лошадиная лихорадка
352,A923,Лихорадка Западного Нила
353,A924,Лихорадка Рифт-Валли [долины Рифт]
354,A928,Другая уточненная комариная вирусная лихорадка
355,A929,Комариная вирусная лихорадка неуточненная
356,A930,"Болезнь, вызванная вирусом Оропуш"
357,A931,Москитная лихорадка
358,A932,Колорадская клещевая лихорадка
359,A938,"Другие уточненные вирусные лихорадки, передаваемые членистоногими"
360,A950,Лесная желтая лихорадка
361,A951,Городская желтая лихорадка
362,A959,Желтая лихорадка неуточненная
363,A960,Геморрагическая лихорадка Хунин
364,A961,Геморрагическая лихорадка Мачупо
365,A962,Лихорадка Ласса
366,A968,Другие ареновирусные геморрагические лихорадки
367,A969,Ареновирусная геморрагическая лихорадка неуточненная
368,A980,Крымская геморрагическая лихорадка (вызванная вирусом Конго)
369,A981,Омская геморрагическая лихорадка
370,A982,Кьясанурская лесная болезнь
371,A983,"Болезнь, вызванная вирусом Марбург"
372,A984,"Болезнь, вызванная вирусом Эбола"
373,A985,Геморрагическая лихорадка с почечным синдромом
374,A988,Другие уточненные вирусные геморрагические лихорадки
375,B000,Герпетическая экзема
376,B001,Герпетический везикулярный дерматит
377,B002,Герпетический гингивостоматит и фаринготонзиллит
378,B003,Герпетический менингит (G02.0*)
379,B004,Герпетический энцефалит (G05.1*)
380,B005,Герпетическая болезнь глаз
381,B007,Диссеминированная герпетическая болезнь
382,B008,Другие формы герпетических инфекций
383,B009,Герпетическая инфекция неуточненная
384,B010,Ветряная оспа с менингитом (G02.0*)
385,B011,Ветряная оспа с энцефалитом (G05.1*)
386,B012,Ветряная оспа с пневмонией (J17.1*)
387,B018,Ветряная оспа с другими осложнениями
388,B019,Ветряная оспа без осложнений
389,B020,Опоясывающий лишай с энцефалитом (G05.1*)
390,B021,Опоясывающий лишай с менингитом (G02.0*)
391,B022,Опоясывающий лишай с другими осложнениями со стороны нервной системы
392,B023,Опоясывающий лишай с глазными осложнениями
393,B027,Диссеминированный опоясывающий лишай
394,B028,Опоясывающий лишай с другими осложнениями
395,B029,Опоясывающий лишай без осложнений
396,B050,"Корь, осложненная энцефалитом (G05.1*)"
397,B051,"Корь, осложненная менингитом (G02.0*)"
398,B052,"Корь, осложненная пневмонией (J17.1*)"
399,B053,"Корь, осложненная средним отитом (H67.1*)"
400,B054,Корь с кишечными осложнениями
401,B058,Корь с другими осложнениями
402,B059,Корь без осложнений
403,B060,Краснуха с неврологическими осложнениями
404,B068,Краснуха с другими осложнениями
405,B069,Краснуха без осложнений
406,B080,"Другие инфекции, вызванные ортопоксвирусом"
407,B081,Контагиозный моллюск
408,B082,Экзантема внезапная (шестая болезнь)
409,B083,Эритема инфекционная (пятая болезнь)
410,B084,Энтеровирусный везикулярный стоматит с экзантемой
411,B085,Энтеровирусный везикулярный фарингит
412,B088,"Другие уточненные инфекции, характеризующиеся поражением кожи и слизистых оболочек"
413,B150,Гепатит A с печеночной комой
414,B159,Гепатит A без печеночной комы
415,B160,Острый гепатит B с дельта-агентом (коинфекция) и печеночной комой
416,B161,Острый гепатит B с дельта-агентом (коинфекция) без печеночной комы
417,B162,Острый гепатит B без дельта-агента с печеночной комой
418,B169,Острый гепатит B без дельта-агента и без печеночной комы
419,B170,Острая дельта(супер)-инфекция вирусоносителя гепатита B
420,B171,Острый гепатит C
421,B172,Острый гепатит E
422,B178,Другие уточненные острые вирусные гепатиты
423,B180,Хронический вирусный гепатит B с дельта-агентом
424,B181,Хронический вирусный гепатит B без дельта-агента
425,B182,Хронический вирусный гепатит C
426,B188,Другой хронический вирусный гепатит
427,B189,Хронический вирусный гепатит неуточненный
428,B190,Неуточненный вирусный гепатит с комой
429,B199,Неуточненный вирусный гепатит без печеночной комы
430,B200,"Болезнь, вызванная ВИЧ, с проявлениями микобактериальной инфекции"
431,B201,"Болезнь, вызванная ВИЧ, с проявлениями других бактериальных инфекций"
432,B202,"Болезнь, вызванная ВИЧ, с проявлениями цитомегало-вирусного заболевания"
433,B203,"Болезнь, вызванная ВИЧ, с проявлениями других вирусных инфекций"
434,B204,"Болезнь, вызванная ВИЧ, с проявлениями кандидоза"
435,B205,"Болезнь, вызванная ВИЧ, с проявлениями других микозов"
436,B206,"Болезнь, вызванная ВИЧ, с проявлениями пневмонии, вызванной Pneumocystis carinii"
437,B207,"Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций"
438,B208,"Болезнь, вызванная ВИЧ, с проявлениями других инфекционных и паразитарных болезней"
439,B209,"Болезнь, вызванная ВИЧ, с проявлениями неуточненных инфекционных и паразитарных болезней"
440,B210,"Болезнь, вызванная ВИЧ, с проявлениями саркомы Капоши"
441,B211,"Болезнь, вызванная ВИЧ, с проявлениями лимфомы Беркитта"
442,B212,"Болезнь, вызванная ВИЧ, с проявлениями других неходжкинских лимфом"
443,B213,"Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований лимфатической, кроветворной и родственных им тканей"
444,B217,"Болезнь, вызванная ВИЧ, с проявлениями множественных злокачественных новообразований"
445,B218,"Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований"
446,B219,"Болезнь, вызванная ВИЧ, с проявлениями неуточненных злокачественных новообразований"
447,B220,"Болезнь, вызванная ВИЧ, с проявлениями энцефалопатии"
448,B221,"Болезнь, вызванная ВИЧ, с проявлениями лимфатического интерстициального пневмонита"
449,B222,"Болезнь, вызванная ВИЧ, с проявлениями изнуряющего синдрома"
450,B227,"Болезнь, вызванная ВИЧ, с проявлениями множественных болезней, классифицированных в других рубриках"
451,B230,Острый ВИЧ-инфекционный синдром
452,B231,"Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии"
453,B232,"Болезнь, вызванная ВИЧ, с проявлениями гематологических и иммунологических нарушений, не классифицированных в других рубриках"
454,B238,"Болезнь, вызванная ВИЧ, с проявлениями других уточненных состояний"
455,B250,Цитомегаловирусный пневмонит (J17.1*)
456,B251,Цитомегаловирусный гепатит (K77.0*)
457,B252,Цитомегаловирусный панкреатит (K87.1*)
458,B258,Другие цитомегаловирусные болезни
459,B259,Цитомегаловирусная болезнь неуточненная
460,B260,Паротитный орхит (N51.1*)
461,B261,Паротитный менингит (G02.0*)
462,B262,Паротитный энцефалит (G05.1*)
463,B263,Паротитный панкреатит (K87.1*)
464,B268,Эпидемический паротит с другими осложнениями
465,B269,Эпидемический паротит неосложненный
466,B270,"Мононуклеоз, вызванный гамма-герпетическим вирусом"
467,B271,Цитомегаловирусный мононуклеоз
468,B278,Другой инфекционный мононуклеоз
469,B279,Инфекционный мононуклеоз неуточненный
470,B300,"Кератоконъюнктивит, вызванный аденовирусом (H19.2*)"
471,B301,"Конъюнктивит, вызванный аденовирусом (H13.1*)"
472,B302,Вирусный фарингоконъюнктивит
473,B303,Острый эпидемический геморрагический конъюнктивит (энтеровирусный) (H13.1*)
474,B308,Другой вирусный конъюнктивит (H13.1*)
475,B309,Вирусный конъюнктивит неуточненный
476,B330,Эпидемическая миалгия
477,B331,Болезнь Росс-Ривер
478,B332,Вирусный кардит
479,B333,"Ретровирусные инфекции, не классифицированные в других рубриках"
480,B338,Другие уточненные вирусные болезни
481,B340,Аденовирусная инфекция неуточненная
482,B341,Энтеровирусная инфекция неуточненная
483,B342,Коронавирусная инфекция неуточненная
484,B343,Парвовирусная инфекция неуточненная
485,B344,Паповавирусная инфекция неуточненная
486,B348,Другие вирусные инфекции неуточненной локализации
487,B349,Вирусная инфекция неуточненная
488,B350,Микоз бороды и головы
489,B351,Микоз ногтей
490,B352,Микоз кистей
491,B353,Микоз стоп
492,B354,Микоз туловища
493,B355,Черепицеобразный микоз
494,B356,Эпидермофития паховая
495,B358,Другие дерматофитии
496,B359,Дерматофитии неуточненные
497,B360,Разноцветный лишай
498,B361,Черный микоз
499,B362,Белая пьедра
500,B363,Черная пьедра
501,B368,Другие уточненные поверхностные микозы
502,B369,Поверхностный микоз неуточненный
503,B370,Кандидозный стоматит
504,B371,Легочный кандидоз
505,B372,Кандидоз кожи и ногтей
506,B373,Кандидоз вульвы и вагины (N77.1*)
507,B374,Кандидоз других урогенитальных локализаций
508,B375,Кандидозный менингит (G02.1*)
509,B376,Кандидозный эндокардит (I39.8*)
510,B377,Кандидозная септицемия
511,B378,Кандидоз других локализаций
512,B379,Кандидоз неуточненный
513,B380,Острый легочный кокцидиоидомикоз
514,B381,Хронический легочный кокцидиоидомикоз
515,B382,Легочный кокцидиоидомикоз неуточненный
516,B383,Кожный кокцидиоидомикоз
517,B384,Кокцидиоидомикозный менингит (G02.1*)
518,B387,Диссеминированный кокцидиоидомикоз
519,B388,Другие виды кокцидиоидомикоза
520,B389,Кокцидиоидомикоз неуточненный
521,B390,"Острая легочная инфекция, вызванная Histoplasma capsulatum"
522,B391,"Хроническая легочная инфекция, вызванная Histoplasma capsulatum"
523,B392,Легочный гистоплазмоз неуточненный
524,B393,Диссеминированный гистоплазмоз
525,B394,Гистоплазмоз неуточненный
526,B395,"Инфекция, вызванная Histoplasma duboisii"
527,B399,Гистоплазмоз неуточненный
528,B400,Острый легочный бластомикоз
529,B401,Хронический легочный бластомикоз
530,B402,Легочный бластомикоз неуточненный
531,B403,Кожный бластомикоз
532,B407,Диссеминированный бластомикоз
533,B408,Другие виды бластомикоза
534,B409,Бластомикоз неуточненный
535,B410,Легочный паракокцидиоидомикоз
536,B417,Диссеминированный паракокцидиоидомикоз
537,B418,Другие виды паракокцидиоидомикоза
538,B419,Паракокцидиоидомикоз неуточненный
539,B420,Легочный споротрихоз (J99.8*)
540,B421,Кожно-лимфатический споротрихоз
541,B427,Диссеминированный споротрихоз
542,B428,Другие виды споротрихоза
543,B429,Споротрихоз неуточненный
544,B430,Кожный хромомикоз
545,B431,Феомикотический абсцесс мозга
546,B432,Подкожный феомикотический абсцесс и киста
547,B438,Другие виды хромомикоза
548,B439,Хромомикоз неуточненный
549,B440,Инвазивный легочный аспергиллез
550,B441,Другие формы легочного аспергиллеза
551,B442,Тонзиллярный аспергиллез
552,B447,Диссеминированный аспергиллез
553,B448,Другие виды аспергиллеза
554,B449,Аспергиллез неуточненный
555,B450,Легочный криптококкоз
556,B451,Церебральный криптококкоз
557,B452,Кожный криптококкоз
558,B453,Костный криптококкоз
559,B457,Диссеминированный криптококкоз
560,B458,Другие виды криптококкоза
561,B459,Криптококкоз неуточненный
562,B460,Легочный мукормикоз
563,B461,Риноцеребральный мукормикоз
564,B462,Гастроинтестинальный мукормикоз
565,B463,Кожный мукормикоз
566,B464,Диссеминированный мукормикоз
567,B465,Мукормикоз неуточненный
568,B468,Другие зигомикозы
569,B469,Зигомикоз неуточненный
570,B470,Истинная мицетома
571,B471,Актиномицетома
572,B479,Мицетома неуточненная
573,B480,Лобомикоз
